
1.30687	1.00462	5.92983	1.41483	-1.3827
-4.79635e-17	-0.15598	-0.311961	-0.105258	9.2107
-1.54589e-18	-0.305067	-0.610133	0.0736982	9.33535
3.29129e-18	-0.161574	-0.323148	-0.175554	14.7748
4.38783e-17	0.520618	1.04124	-0.00358611	10.4675

0	0.291154	0	0	0

1.30687	1.00462	5.92983	1.41483	-1.3827
4.70062e-17	0.643852	1.2877	0.0317361	-1.89829
3.76987e-17	1.60533e-17	-1.3099e-16	0.100565	-9.0195
-1.86402e-17	3.89004e-18	1.21386e-16	-0.0880514	-10.89
-1.61491e-17	1.99088e-18	-4.60715e-16	0.168728	-17.2134

0	0.291154	6.63075e-33	0	0

1.30687	1.00462	5.92983	1.41483	-1.3827
4.70062e-17	0.643852	1.2877	0.0317361	-1.89829
-4.84303e-19	5.15638e-18	-4.94117e-16	0.205613	-15.7656
-3.92307e-17	-1.52313e-17	-4.96287e-33	-0.0477663	5.01962
2.21395e-17	-4.2689e-18	3.89724e-33	0.0421572	14.9162

0	0.291154	6.63075e-33	0.00198079	0

1.30687	1.00462	5.92983	1.41483	-1.3827
4.70062e-17	0.643852	1.2877	0.0317361	-1.89829
-4.84303e-19	5.15638e-18	-4.94117e-16	0.205613	-15.7656
-4.40635e-17	-8.59494e-18	-6.29981e-33	-0.0637091	-6.10676
-9.36031e-18	-1.32794e-17	-3.62022e-34	-1.96291e-18	14.5051

0	0.291154	6.63075e-33	0.00198079	0.419318

 final result after normalize
0	0.291154	6.63075e-33	0.00198079	0.419318
